dataset,scenario,method,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std,runs,gate_mean,delta_abs_mean
METR-LA,sensor_failure_30,GenericAdapter,0.643429262806153,0.05865517521034692,1.0589875335951797,0.06760629996575022,12,1.0,0.048821917429050045
METR-LA,sensor_failure_30,RePAC,0.6115056656594772,0.04965239529166496,1.0201278962643476,0.061277499047044166,12,,
METR-LA,sensor_failure_30,Target Backbone,0.658289058234102,0.07372858215066068,1.0533238574244994,0.06802705713617374,12,,
PEMS-BAY,incident_perturbation,CalibrationGuard,0.8942678554556434,0.10160085772487719,1.665452244882907,0.21890144620285515,12,0.5607822324646935,0.04865228524924493
PEMS-BAY,incident_perturbation,DoRAAdapter,0.9011188050040216,0.09827343302816183,1.6758355144605943,0.2144804650990169,12,1.0,0.019147501025946926
PEMS-BAY,incident_perturbation,FailureAnomalyGuard,0.8967752772232899,0.0987064336587232,1.6687292122811728,0.2156721790099781,12,0.5530089148075669,0.035902860733147135
PEMS-BAY,incident_perturbation,GenericAdapter,0.888677470567944,0.1076936340825388,1.6552759453460244,0.2249857588119098,12,1.0,0.04163040370605409
PEMS-BAY,incident_perturbation,RePAC,0.8218917010287731,0.09500922297166021,1.5549905027496218,0.18673810263505636,12,,
PEMS-BAY,incident_perturbation,Target Backbone,0.8958633914152694,0.09465678349636461,1.669325824553013,0.2108621586035904,12,,
PEMS-BAY,random_missing_50,CalibrationGuard,0.8956006833714371,0.11080171099225158,1.6739061529031434,0.2328355536660507,12,0.567001795014239,0.04686541431913397
PEMS-BAY,random_missing_50,DoRAAdapter,0.9031153045877801,0.10546936480060638,1.6849984617720228,0.2267217124776308,12,1.0,0.016619355632370682
PEMS-BAY,random_missing_50,FailureAnomalyGuard,0.8981317117200419,0.10921968415949171,1.677089081367859,0.23199608137693745,12,0.5549233395558072,0.031112885703953135
PEMS-BAY,random_missing_50,GenericAdapter,0.8870813745030577,0.11126896067775444,1.660901042183056,0.2330755609003829,12,1.0,0.03869609139541109
PEMS-BAY,random_missing_50,RePAC,0.8006399373487006,0.09329656478614588,1.5288878391882885,0.1907166977638643,12,,
PEMS-BAY,random_missing_50,Target Backbone,0.8997536747131288,0.10441538321997133,1.6806545386263794,0.22559869498560306,12,,
PEMS-BAY,sensor_failure_30,CalibrationGuard,0.994838700182764,0.13232213977017143,1.7800924945572743,0.19926785966845947,12,0.5530213769060685,0.037996268236357746
PEMS-BAY,sensor_failure_30,DoRAAdapter,0.9942756935402199,0.1331118080205046,1.7794762692162251,0.20097007522317203,12,1.0,0.01911602164770014
